Fold,Train Loss,Val Loss,Test Loss,Test Accuracy,Test Balanced Accuracy,Test Precision,Test Recall,Test F1
1,0.8949999999999999,0.9674290539696813,1.09362999945879,0.49230769230769234,0.5150793650793651,0.3349206349206349,0.5150793650793651,0.3917241379310345
2,0.8778571428571428,0.8994858376681805,0.9256393332034349,0.640625,0.6222222222222222,0.46527777777777785,0.6222222222222222,0.5251839275608375
3,0.8707142857142856,0.8520925780758262,0.8726154881219069,0.6666666666666666,0.6666666666666666,0.4774083546462063,0.6666666666666666,0.5533275210694565
4,0.8642857142857141,0.8470294205471873,0.8667477092395226,0.6666666666666666,0.6666666666666666,0.4425403225806452,0.6666666666666666,0.522476050110538
5,0.5653846153846154,0.6911816392093897,0.8901420792937278,0.6486486486486487,0.647328431372549,0.7066822066822067,0.647328431372549,0.6547067901234568
