Fold,Train Loss,Val Loss,Test Loss,Test Accuracy,Test Balanced Accuracy,Test Precision,Test Recall,Test F1
1,0.9291304347826087,0.8470034704164222,1.152017375799241,0.39325842696629215,0.34327122153209105,0.24364123159303883,0.34327122153209105,0.23241768946035454
2,0.7352173913043478,0.7640821421173988,0.9058148293859429,0.6292134831460674,0.6150270486876378,0.6430555555555555,0.6150270486876378,0.6216452991452991
3,0.5960869565217394,0.5703438701866953,0.8789004438591225,0.651685393258427,0.6340746677352569,0.6623582873405979,0.6340746677352569,0.6414529914529914
4,0.5691304347826089,0.5514495117520845,0.8184357541440814,0.7191011235955056,0.7123221799238629,0.7417562724014336,0.7123221799238629,0.7223253780924906
5,0.5613043478260871,0.551444774562562,0.8085277085364968,0.7303370786516854,0.7118546717424697,0.7393939393939394,0.7118546717424697,0.7174893162393162
